,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% Change 2016-2015
Singapore,VFN,"203,668","226,437","235,267","293,415","372,685","439,958","500,545","666,316","559,736","866,524","836,858","1,015,661","1,090,287","1,053,659","913,067","1,150,027","1,554,480","2,198,157","2,645,728","2,191,830","2,566,184",,
Singapore,VFR,"201,953","226,677","235,112","293,282","372,881","434,336","497,398","670,099","568,510","880,259","857,814","1,037,201","1,113,956","1,078,742","936,747","1,171,493","1,577,522","2,034,177","2,269,870","1,722,380","2,106,164","2,863,669",35.97
Slovakia,TCEN,,,,,606,537,550,780,684,801,"1,447","2,177","4,286","7,675","6,540","8,337","11,857","16,317","15,882","14,390","28,154","41,332",46.81
Slovenia,THSN,,,,,,,,,,,"1,637","2,456","3,207","4,625","5,319","7,613","10,078","13,860","17,998","21,444","34,367","40,836",18.82
Slovenia,TCEN,,,,,,,,,,,"1,754","2,615","3,503","4,911","5,638","8,234","11,050","15,294","19,801","24,113","37,796","45,324",19.92
Solomon Islands,TFR,,,,,,,,,,,,,,,,,,,,425,742,827,11.46
South Africa,TFR,,,,,,"30,483","29,681","36,957","42,822","51,080","44,228","41,962","47,378","40,320","34,561","65,920","84,862","132,327","151,053","82,905","84,691","116,946",38.09
South Africa,VFR,,,"6,704","12,790","19,337","19,722","20,577","25,849","33,128","45,934","41,704","40,327","46,325","40,275","36,480","71,921","92,587","140,607","160,324","88,598","88,584","120,608",36.15
Spain,THSR,,,,,,,,,,,"101,207","104,741","139,251","146,517","151,439","206,930","284,511","343,168","441,055","574,835","777,883","957,315",23.07
Spain,TCER,,,,,,,,,,,"105,271","109,291","145,412","152,480","159,503","218,795","299,961","365,318","462,845","609,413","828,748","1,028,990",24.16
Sri Lanka,TFN,"1,440",921,"1,521","1,440","1,707","2,220","3,789","4,350","7,380","9,424","9,818","16,364","10,413","10,015","8,574","10,410","16,573","20,323","51,704","112,867","224,210","280,687",25.19
Sri Lanka,TFR,"1,437",921,"1,617","1,557","1,704","2,208","3,721","4,338","7,251","9,088","9,668","16,274","11,949","9,812","8,550","10,430","16,308","25,781","54,288","128,166","214,783","271,577",26.44
Sudan,TFN,"3,534",,,,,,,,,,,,,,,,,,,,,,
Suriname,TFR,"3,914","2,011","1,269","1,402","1,533","1,560","1,163",962,730,"2,041",,"1,757","1,320","1,737","1,069","1,980","2,470","2,491","2,356","3,050","2,319","3,534",52.39
Swaziland,VFR,,,,,,,,,,,"2,381","1,975","2,557","2,738","2,137","1,980","2,344","2,531","2,184","2,046","2,221","2,732",23.01
Sweden,THSR,,,,,,,,,,"9,464","32,931","48,582","54,573","45,343","42,739","52,201","69,226","74,199","86,801","92,264","120,116","153,462",27.76
Sweden,TCER,,,,,,,,,,"11,104","34,574","49,985","56,809","49,229","42,486","49,096","64,559","71,379","83,554","99,637","127,853","161,751",26.51
Switzerland,THSR,,,,,"38,600","44,752","49,379","69,268","62,542",,"110,004","132,610","145,921","129,176","187,138","286,420","452,724","575,326","704,945","823,713","1,122,852","879,605",-21.66
Taiwan Province of China,VFR,,,,,,,,,,,,,,"329,204","972,123","1,630,735","1,784,185","2,586,428","2,874,702","3,987,152","4,184,102","3,511,734",-16.07
Taiwan Province of China,TCER,,,,,,,,,,,,,,,"860,075","1,548,139","1,666,562","2,456,742","2,750,662","3,765,777","3,896,855","3,249,685",-16.61
Tajikistan,VFR,,,,,75,181,78,,,,,,,"1,522","2,437","2,694","3,788","4,105",970,"5,755","13,295",,
"Tanzania, United Republic of",VFR,"3,334","3,683","4,070","5,446","7,084","5,664","5,002","3,163","4,007","3,602","4,289","4,798","6,353","8,982","7,883","10,997","9,018","13,760","17,336","21,246","25,444","34,472",35.48
Thailand,TFN,"380,619","469,707","452,510","604,472","813,596","753,781","801,362","797,976","606,635","729,848","776,792","949,117","907,117","826,660","777,508","1,122,219","1,721,247","2,786,860","4,637,335","4,636,298","7,936,795","8,757,466",10.34
Thailand,TFR,"375,564","456,912","439,795","571,061","775,626","704,080","694,886","763,139","624,214","779,070","761,904","1,033,305","1,003,141","937,358","815,708","1,132,267","1,704,800","2,761,213","4,609,717","4,631,981","7,981,407","8,821,148",10.52
Thailand,THSN,,,,,,,,,,,,"2,078,802","1,775,792",,,"2,602,829","3,743,279","5,719,939","7,503,109","8,000,326","12,274,811",,
The Former Yugoslav Republic of Macedonia,THSN,,,,,,,,,,,,,,,,818,"1,616","2,754","4,004","4,426","7,178","6,524",-9.11
The Former Yugoslav Republic of Macedonia,TCEN,,,,,,,,,,,,,,,,853,"1,664","2,828","4,075","4,517","7,256","6,565",-9.52
Timor-Leste,TFR,,,,,,,,,,,,922,669,976,"1,991","2,659","3,464","4,972","4,346","3,717","5,585","7,437",33.16
Togo,THSR,,,,,,,,,,,,,,,,,,,,,,"2,537",
Tonga,TFR,278,251,244,464,319,468,269,414,,307,285,352,321,762,807,850,671,550,600,759,939,"1,318",40.36
Trinidad and Tobago,TFN,,,,,,,,,,,,,,,,,"2,864","2,533","3,657","3,723","2,892","2,602",-10.03
Tunisia,TFN,,,,,,,,,"1,066","1,763","1,874","2,138","2,801","2,748","3,509","4,612","11,872","3,771","4,308","5,601","3,820","7,396",93.61
Tunisia,THSN,,,,,,,,,,350,"1,087","1,123","1,825","2,670","4,663","9,572","4,556","12,427","21,814","21,012","8,614","22,851",165.28
Turkey,TFN,"9,800","11,056","12,156","10,596","10,288","21,084","24,391","31,637","26,506","34,666","43,157","54,783","62,114","58,526","67,471","74,763","92,820","109,533","131,369","189,768","300,186","164,681",-45.14
Turkey,VFN,"10,243","11,515","12,715","11,591","11,047","21,518","25,295","31,951","27,557","35,339","44,077","53,194","64,614","61,882","69,336","77,142","96,701","114,582","138,876","199,746","313,704","167,570",-46.58
Turkey,THSN,,,,,,,,"23,670","21,538","29,821","41,933","49,893","67,386","52,365","47,714","63,560","113,444","161,373","175,027","260,575","473,729","205,814",-56.55
Turkey,TCEN,,,,,,"2,694","15,709","23,670","21,538","29,821","41,937","49,893","67,386","52,371","47,941","68,569","124,986","179,495","203,105","319,104","572,191","226,785",-60.37
Tuvalu,TFN,,,,,,,,,,,,,,20,74,41,9,11,29,60,62,75,20.97
Uganda,TFR,"1,149","1,135",880,881,"1,127",945,"1,025","1,036","1,181","1,798","2,177","2,951","4,220","6,088","4,629","5,692","6,971","8,645","10,792","14,633","17,051","19,175",12.46
Ukraine,TFR,"1,611",749,"10,820","8,413","7,508","5,153","4,261","8,451","8,332","11,037","12,756","15,458","17,160","16,574","16,137","16,794","19,057","19,718","18,128","11,308","12,966","19,599",51.16
United Kingdom,VFR,"31,000","31,000","29,000","32,000","46,000","41,000","58,000","64,000","68,000","95,000","95,000","107,276","143,353","107,860","89,187","109,000","149,000","178,700","200,000","185,000","270,000","260,432",-3.54
United States of America,TFR,"166,520","198,759","209,609","208,930","384,086","249,441","232,416","225,565","157,326","202,544","270,272","320,450","397,405","492,958","524,817","801,738","1,089,405","1,474,408","1,806,553","2,189,781","2,591,333","2,972,264",14.70
Vanuatu,TFR,,,,,,,,,,,,,,,,,581,623,"1,062","1,563","2,186","2,736",25.16
"Venezuela, Bolivarian Republic of",TFN,371,695,772,"2,154",872,474,"1,180",676,615,892,"8,403","8,517","8,534","8,192","6,768","6,006","6,271","22,809","33,784","31,704","28,915","26,754",-7.47
"Venezuela, Bolivarian Republic of",VFN,,,,"2,554","1,043",608,"1,598",923,795,"1,134","1,435","10,056","10,138","8,229","6,835","6,023","6,315","22,850","33,855","31,771","32,307","30,303",-6.20
Viet Nam,VFR,"62,640","377,555","405,389","420,743","484,102","626,476","672,846","724,385","693,423","778,431","717,400","516,300","574,600","643,300","518,900","905,400","1,416,800","1,428,693","1,907,794","1,947,236","1,780,918","2,696,848",51.43
Yemen,TFN,,,,,,,,,,"2,872","1,947","3,414","4,227","4,695","5,843","5,331","1,824","1,831","3,466","2,902",891,,
Zambia,TFR,334,530,,,,,,,,,,,,,,"18,319","30,076","63,892","27,603","30,831","20,648","20,120",-2.56
