,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% Change 2016-2015
Cyprus,TFR,,,,442,527,512,414,305,525,482,424,403,692,722,441,655,651,735,"1,171","1,837","2,498","2,665",6.69
Cyprus,THSR,,,,,,,,,,,679,790,776,"1,084","1,405","1,744","1,649","3,599","4,864","7,007","7,160","7,147",-0.18
Cyprus,TCER,,,,,,,,,,,679,790,776,"1,084","1,508","1,760","1,656","3,601","4,864","7,008","7,169","7,147",-0.31
Czech Republic,THSN,,,,,,,,,,,"16,463","28,028","36,376","50,664","59,429","76,809","105,878","147,690","166,476","203,295","278,196","344,350",23.78
Czech Republic,TCEN,,,,,,,,,,,"17,806","29,710","38,421","53,108","61,798","79,186","108,629","152,866","174,263","211,014","288,630","355,847",23.29
Denmark,THSR,,,,,,,,,,,,,,,,,,"28,023","37,157","38,381","46,140","50,094",8.57
Denmark,TCER,,,,,,,,,,,,,,,,,,"30,228","39,638","39,570","49,870","55,535",11.36
Dominica,TFR,,120,529,126,24,107,190,165,182,149,307,266,287,147,178,227,341,360,286,299,355,329,-7.32
Dominican Republic,TFR,,,,,,,,336,255,249,199,262,534,491,381,646,901,963,"1,205","1,412","1,680","1,694",0.83
Ecuador,VFN,,,,,,,,,,"3,710","3,229","3,567","4,855","14,287","7,844","6,879","9,296","12,245","14,613","17,433","18,224","22,598",24.00
Egypt,VFN,"5,930","7,001","6,932","8,272","11,189","13,779","12,962","21,801","21,381","30,363","35,327","51,371","80,447","67,714","80,933","106,227","48,620","61,155","55,453","61,697","115,158","179,459",55.84
El Salvador,TFN,429,542,"1,196","1,893",472,744,339,436,145,129,170,621,338,"1,714",704,"2,276","1,527","1,452","2,226","1,982","1,835","3,944",114.93
El Salvador,THSN,154,314,352,"1,287",330,454,170,265,89,1,2,6,3,15,373,925,597,591,"1,642","1,054",912,"1,986",117.76
Estonia,THSR,,,,,,,,,,,,,797,"1,701","1,888","2,642","5,185","5,426","6,893","10,229","10,559","12,125",14.83
Estonia,TCER,,,,,,,,,,,804,"1,152","1,020","1,895","2,058","2,823","5,549","5,934","7,806","11,689","12,027","14,167",17.79
